cid,Molecular_weight,LogP,abonds,dbonds,nF,sbonds,tbonds,Ncharges,Number_of_HBA_1,Number_of_HBA_2,Number_of_HBD_1,Number_of_HBD_2,Number_of_acidic_groups,Number_of_aliphatic_OH_groups,Number_of_basic_groups,Fraction_of_rotatable_bonds,Number_of_heavy_bonds,Number_of_heterocycles,MolarRefractivity,Number_of_atoms,Number_of_bonds,Number_of_NO2_groups,Number_of_SO2_groups,PolarSurfaceArea,Geometrical_diameter,Geometrical_radius,Geometrical_shape_coefficient,Kier_shape_1,Kier_shape_2,Zagreb_group_index_1,Zagreb_group_index_2,C,H,N,O,S,Cl,F,P,I,Br,B,RNH2,R2NH,R3N,ROH,RCHO,RCOR,RCOOH,RCOOR,ROR,RCCH,RCN,RINGS,AROMATIC
16722836,524.6909919,13.2378,18,2,0,56,0,0,44,6,4,4,0,0,1,0.275,40,2,184.2611,73,76,0,2,118.06,15.28460357,1.012607376,14.09430401,29.97,13.5734072,386,404,27,36,6,3,1,0,0,0,0,0,0,0,2,1,0,0,0,0,0,1,0,0,4,3
2726824,312.3159941,5.6403,12,1,3,21,0,0,14,3,1,1,0,0,0,0.086956522,23,2,87.0444,32,34,0,0,71.05,11.93306255,1.010787316,10.80571063,15.87901701,6.24567474,175,194,14,11,2,1,1,0,3,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,3,2
24785538,461.5049915,7.909,21,1,1,41,0,0,32,8,3,3,0,0,0,0.179487179,39,5,147.1664,58,63,0,0,116.13,18.85401789,1.008927224,17.68719312,24.34319527,10.0451843,326,376,23,24,9,1,0,0,1,0,0,0,0,0,2,1,0,0,0,0,0,0,0,0,6,4
60749,299.6609931,2.3147,6,1,2,24,0,0,18,7,4,2,0,2,0,0.105263158,19,2,75.0174,31,31,0,0,110.6,9.674811646,0.066142602,145.2720144,17.05263158,6.18549346,154,176,9,12,3,4,0,1,2,0,0,0,0,0,0,1,2,0,0,0,0,1,0,0,2,1
4788,274.2719934,2.3,12,1,0,22,0,0,19,5,4,4,0,0,0,0.19047619,21,0,90.1725,34,35,0,0,97.99,8.290859638,0.961354027,7.624148238,16.37188209,7.319857313,166,184,15,14,0,5,0,0,0,0,0,0,0,0,0,0,4,0,1,0,0,0,0,0,2,2
4139,284.4079964,6.3861,15,1,0,24,0,1,20,3,0,0,0,0,0,0.045454545,22,1,106.472,38,40,0,0,47.38,13.91664884,1.079587357,11.89071121,14.91735537,6.01171875,198,198,16,18,3,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,3,3
24775005,485.5059884,11.1968,18,1,3,45,0,0,32,6,1,1,0,0,0,0.184210526,38,2,152.1301,61,64,0,0,63.69,12.1123395,1.016301996,10.91805148,28.01939058,12.24,324,346,26,26,3,3,0,0,3,0,0,0,0,0,1,1,0,0,0,0,0,2,0,0,4,3
11213558,470.4609903,8.4161,18,1,1,41,0,0,34,9,3,3,0,0,0,0.189189189,37,3,142.7124,57,60,0,0,128.75,12.61074827,1.006752282,11.52616806,27.04601899,11.58847737,297,304,22,23,6,5,0,0,1,0,0,0,0,0,3,0,0,0,0,0,0,4,0,0,4,3
54454,418.5739906,11.7655,0,4,0,66,0,0,43,5,1,1,0,1,0,0.21875,32,1,158.9748,68,70,0,0,72.83,11.97416932,0.977302766,11.25226178,24.63867188,10.29244002,372,401,25,38,0,5,0,0,0,0,0,0,0,0,0,0,1,0,0,0,2,0,0,0,3,0
11351021,434.5439918,10.796,18,1,0,45,0,0,38,8,3,3,0,0,0,0.323529412,34,2,158.6722,62,64,0,0,101.06,12.89492953,1.010933736,11.75546465,26.60207612,13.77777778,316,318,24,30,6,2,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,1,0,0,3,3
57469,240.3099957,6.1769,15,0,0,21,0,0,19,4,1,0,0,0,0,0.1,20,2,91.8448,34,36,0,0,56.73,9.634362231,1.008224158,8.555774034,13.005,5.174791914,180,192,14,16,4,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,3,3
3397,276.213993,5.0815,6,2,3,22,0,2,14,2,1,1,0,0,0,0.263157895,19,0,73.5578,30,30,2,0,72.24,8.671657333,1.017784226,7.520133354,17.05263158,6.635204082,151,158,11,11,2,3,0,0,3,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,1
11455910,573.7109889,11.6029,24,3,0,52,0,0,42,7,4,4,0,0,0,0.204545455,44,0,199.8809,76,79,0,2,132.31,13.8987233,0.969225206,13.34003492,33.88429752,13.96694215,393,424,33,35,1,6,1,0,0,0,0,0,0,0,1,0,3,0,0,0,0,0,0,0,4,4
132449,298.1239963,0.2631,6,2,0,22,0,0,20,8,5,5,4,0,0,0.222222222,18,0,76.1502,30,30,0,0,164.14,8.958862924,0.972187425,8.215160261,16.05555556,5.174791914,144,162,8,12,0,8,0,0,0,2,0,0,0,0,0,0,1,0,0,0,0,1,0,0,1,1
135411,397.4939905,10.2991,17,1,0,43,0,0,27,3,1,2,1,0,0,0.085714286,35,0,144.957,55,60,0,0,60.36,16.56431101,0.970851276,16.06163593,20.59591837,7.796982167,322,390,27,26,0,3,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,7,3
9836739,320.3479929,6.7246,17,2,0,23,0,0,20,5,1,1,0,0,0,0.230769231,26,1,108.1759,40,42,0,0,63.83,14.26056969,1.021212736,12.96434767,18.78106509,9.629757785,200,213,19,16,2,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,3,3
5394,194.1539972,-0.0982,10,2,0,9,0,0,12,8,1,0,0,0,0,0.066666667,15,2,50.5523,20,21,0,0,108.17,8.235902349,1.0088521,7.163637017,10.51555556,3.867768595,102,109,6,6,6,2,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,2,2
4477,328.1309925,5.1156,12,2,0,17,0,2,15,3,3,3,0,0,0,0.181818182,22,0,89.6031,30,31,2,0,98.99,10.47847808,0.972028216,9.780014313,17.3553719,7.513007284,147,168,13,8,2,4,0,2,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,2,2
252682,364.3549936,5.0355,12,4,0,25,0,0,21,8,2,3,1,0,0,0.269230769,26,0,101.5024,39,40,0,2,141.21,11.7414087,0.970129244,11.10293245,21.30177515,9.273922571,199,213,16,15,1,7,1,0,0,0,0,0,0,0,1,0,1,0,0,1,0,0,0,0,2,2
25021165,520.493988,8.7277,18,2,0,47,0,2,33,8,1,1,0,1,0,0.162790698,43,3,155.4324,62,67,2,0,129.83,17.48944829,0.973643645,16.96288446,28.13520822,12.08163265,344,393,27,24,2,9,0,0,0,0,0,0,0,0,0,1,1,0,0,0,1,4,0,0,6,3
10077147,591.4789927,10.7419,17,2,0,44,0,0,35,9,4,4,0,0,0,0.324324324,37,3,168.3963,60,63,0,0,139.52,13.66324675,1.006070862,12.5807996,27.04601899,14.07413578,316,344,23,26,7,2,1,0,0,0,1,0,0,0,4,1,0,0,0,0,0,0,0,0,4,3
9903786,279.295996,5.3033,11,2,1,17,0,0,15,6,3,1,0,0,0,0.2,20,1,80.5085,29,30,0,0,126.45,11.63897727,0.985592495,10.80911718,15.39,6.635204082,142,156,12,10,3,2,1,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,2,2
9911830,454.8699902,9.2704,22,1,0,31,0,0,27,9,2,2,0,0,0,0.228571429,35,2,139.8958,51,54,0,0,107.74,15.55566701,1.008211807,14.42896731,25.10367347,11.62015827,263,275,22,19,4,5,0,1,0,0,0,0,0,0,2,0,0,0,0,0,0,3,0,0,4,4
24856436,500.6069908,9.0977,22,2,0,49,0,0,39,8,3,3,0,1,1,0.170731707,41,4,175.5113,69,73,0,0,105.54,14.17925698,0.97304372,13.57206566,28.52587745,12.25,368,396,27,32,8,2,0,0,0,0,0,0,0,0,1,2,1,0,0,0,0,0,0,0,5,4
11228183,814.4539869,19.8778,30,4,0,73,0,2,56,7,5,5,0,0,2,0.278688525,61,1,271.4493,102,107,2,2,170.73,15.06351182,0.977186428,14.4151873,45.5253964,22.19792388,538,585,42,45,6,5,2,1,0,0,0,0,0,0,1,3,0,0,0,0,0,0,0,0,6,5
